raw_beneficiary,matched_name,factset_entity_id,hq_country,registry,retirement_year,country,quantity,match_confidence,match_method,projectname,projecttype,vintage,isocode,serialnumber,retirement_reason,market_type
Eni Upstream,Eni S.p.A.,05DZHK-E,,Verra,2026.0,Angola,15495,high,cache_exact,IMPROVED COOKSTOVES DISTRIBUTION IN ANGOLA,Energy demand,2024,AGO,,,
McCain Foods Limited,Berkshire Hathaway Inc.,000CS1-E,,Verra,2026.0,Brazil,4612,high,cache_exact,Combio Renewable Biomass Project - Tr√™s Marias,Energy industries (renewable/non-renewable sources),2022,BRA,,,
Telef√≥nica S.A.,"Telefónica, S.A.",05DZGP-E,,Verra,2026.0,Colombia,1676,high,cache_exact,"Restoration of degraded areas and reforestation in C√°ceres and Cravo Norte, Colombia",Agriculture Forestry and Other Land Use,2018,COL,,,
Telef√≥nica Espa√±a,"Telefónica, S.A.",05DZGP-E,,Verra,2026.0,Colombia,7559,high,cache_exact,"Restoration of degraded areas and reforestation in C√°ceres and Cravo Norte, Colombia",Agriculture Forestry and Other Land Use,2018,COL,,,
"Zhongzhou Contemporary Amperex Technology Co., Ltd","Contemporary Amperex Technology Co., Limited",0GT2WV-E,,Verra,2026.0,China,40039,high,cache_exact,Guizhou Jinyan CMM Power Generation Project,Energy industries (renewable/non-renewable sources); Mining/mineral production,2021,CHN,,,
Ruiting Contemporary Amperex Technology (Shanghai) Limited,"Contemporary Amperex Technology Co., Limited",0GT2WV-E,,Verra,2026.0,China,630,high,cache_exact,Guizhou Jinyan CMM Power Generation Project,Energy industries (renewable/non-renewable sources); Mining/mineral production,2021,CHN,,,
SUZANO SA / B PRINT EMBAL E DISPLAYS LTDA,Suzano S.A.,05ZYMQ-E,,Verra,2026.0,Brazil,566,high,cache_exact,THE ARR HORIZONTE CARBON PROJECT,Agriculture Forestry and Other Land Use,2018,BRA,,,
Guangdong Ruiqing Contemporary Amperex Technology Limited,"Contemporary Amperex Technology Co., Limited",0GT2WV-E,,Verra,2026.0,China,21870,high,cache_exact,Guizhou Wenjiaba CMM Power Generation Project,Energy industries (renewable/non-renewable sources); Mining/mineral production,2021,CHN,,,
"Contemporary Amperex Technology Co., Limited","Contemporary Amperex Technology Co., Limited",0GT2WV-E,,Verra,2026.0,China,2783,high,cache_exact,Guizhou Wenjiaba CMM Power Generation Project,Energy industries (renewable/non-renewable sources); Mining/mineral production,2021,CHN,,,
"Contemporary Amperex Technology Co., Limited","Contemporary Amperex Technology Co., Limited",0GT2WV-E,,Verra,2026.0,China,29623,high,cache_exact,Guizhou Wenjiaba CMM Power Generation Project,Energy industries (renewable/non-renewable sources); Mining/mineral production,2022,CHN,,,
Telef√¥nica Brasil S.A.,"Telefónica, S.A.",05DZGP-E,,Verra,2026.0,Brazil,3187,high,cache_exact,Urupianga Grouped REDD Project,Agriculture Forestry and Other Land Use,2022,BRA,,,
ICA Sverige AB,ICA Gruppen AB,007TJ9-E,SE,Verra,2026.0,China,21000,high,cache_exact,Gaizhou Landfill Gas Power Generation Project,Energy industries (renewable/non-renewable sources); Waste handling and disposal,2023,CHN,,,
"Ningde Funing Contemporary Amperex Technology Co., Limited","Contemporary Amperex Technology Co., Limited",0GT2WV-E,,Verra,2026.0,China,43127,high,cache_exact,Shanxi Changzhi Sanyuan CMM Power Generation Project,Energy industries (renewable/non-renewable sources); Mining/mineral production,2021,CHN,,,
Qinghai Contemporary Amperex Technology Limited.,"Contemporary Amperex Technology Co., Limited",0GT2WV-E,,Verra,2026.0,China,8299,high,cache_exact,Shanxi Changzhi Sanyuan CMM Power Generation Project,Energy industries (renewable/non-renewable sources); Mining/mineral production,2021,CHN,,,
Eni Upstream,Eni S.p.A.,05DZHK-E,,Verra,2026.0,DR Congo,2604452,high,cache_exact,The Mai Ndombe REDD+ Project,Agriculture Forestry and Other Land Use,2022,COD,,,
Shell,Shell plc,066L2H-E,,Verra,2026.0,Kenya,80693,high,cache_exact,D.Light's Improved Cooking Project In Kenya,Energy demand,2024,KEN,,,
Shell,Shell plc,066L2H-E,,Verra,2026.0,Kenya,9950,high,cache_exact,D.Light's Improved Cooking Project In Kenya,Energy demand,2023,KEN,,,
MSD MERCK,"Merck & Co., Inc.",000PQC-E,,Verra,2026.0,Brazil,2,high,cache_exact,Salto Pil√£o Hydropower Plant Project Activity,Energy industries (renewable/non-renewable sources),2018,BRA,,,
MSD MERCK,"Merck & Co., Inc.",000PQC-E,,Verra,2026.0,Brazil,1,high,cache_exact,Salto Pil√£o Hydropower Plant Project Activity,Energy industries (renewable/non-renewable sources),2018,BRA,,,
MSD MERCK,"Merck & Co., Inc.",000PQC-E,,Verra,2026.0,Brazil,6,high,cache_exact,Salto Pil√£o Hydropower Plant Project Activity,Energy industries (renewable/non-renewable sources),2018,BRA,,,
MSD MERCK,"Merck & Co., Inc.",000PQC-E,,Verra,2026.0,Brazil,1,high,cache_exact,Salto Pil√£o Hydropower Plant Project Activity,Energy industries (renewable/non-renewable sources),2018,BRA,,,
MSD MERCK,"Merck & Co., Inc.",000PQC-E,,Verra,2026.0,Brazil,1,high,cache_exact,Salto Pil√£o Hydropower Plant Project Activity,Energy industries (renewable/non-renewable sources),2018,BRA,,,
MSD MERCK,"Merck & Co., Inc.",000PQC-E,,Verra,2026.0,Brazil,2,high,cache_exact,Salto Pil√£o Hydropower Plant Project Activity,Energy industries (renewable/non-renewable sources),2018,BRA,,,
MSD MERCK,"Merck & Co., Inc.",000PQC-E,,Verra,2026.0,Brazil,1,high,cache_exact,Salto Pil√£o Hydropower Plant Project Activity,Energy industries (renewable/non-renewable sources),2018,BRA,,,
MSD MERCK,"Merck & Co., Inc.",000PQC-E,,Verra,2026.0,Brazil,12,high,cache_exact,Salto Pil√£o Hydropower Plant Project Activity,Energy industries (renewable/non-renewable sources),2018,BRA,,,
MSD MERCK,"Merck & Co., Inc.",000PQC-E,,Verra,2026.0,Brazil,2,high,cache_exact,Salto Pil√£o Hydropower Plant Project Activity,Energy industries (renewable/non-renewable sources),2018,BRA,,,
MSD MERCK,"Merck & Co., Inc.",000PQC-E,,Verra,2026.0,Brazil,2,high,cache_exact,Salto Pil√£o Hydropower Plant Project Activity,Energy industries (renewable/non-renewable sources),2018,BRA,,,
MSD,"Merck & Co., Inc.",000PQC-E,,Verra,2026.0,Brazil,1,high,cache_exact,Salto Pil√£o Hydropower Plant Project Activity,Energy industries (renewable/non-renewable sources),2018,BRA,,,
Eni Plenitude SpA Societ√† Benefit,Eni S.p.A.,05DZHK-E,,Verra,2026.0,Brazil,47000,high,cache_exact,BRUSQUE LANDFILL GAS PROJECT,Energy industries (renewable/non-renewable sources); Waste handling and disposal,2024,BRA,,,
MAPFRE Seguros Gerais S.A.,"Mapfre, S.A.",003HWW-E,,Verra,2026.0,Brazil,936,high,cache_exact,Rio Madeira Grouped REDD+ Project,Agriculture Forestry and Other Land Use,2023,BRA,,,
WSP CONSULTANTS INDIA PVT. LTD,WSP Global Inc.,0BCBB0-E,,Verra,2026.0,India,203,high,cache_exact,"Wind power project in Maharashtra, India - Andhra Lake Phase - I",Energy industries (renewable/non-renewable sources),2024,IND,,,
Asia Silicones Monomer Limited,"Shin-Etsu Chemical Co., Ltd.",05HWBT-E,,Verra,2026.0,India,23,high,cache_exact,"Wind power project in Maharashtra, India - Andhra Lake Phase - I",Energy industries (renewable/non-renewable sources),2024,IND,,,
Asia Silicones Monomer Limited,"Shin-Etsu Chemical Co., Ltd.",05HWBT-E,,Verra,2026.0,India,533,high,cache_exact,"Wind power project in Maharashtra, India - Andhra Lake Phase - I",Energy industries (renewable/non-renewable sources),2024,IND,,,
